 Iter |   max|dE| Ha |  max|dgamma| |    rdm_std10 |    ndets |  mix | energies
-------------------------------------------------------------------------------
   47 |    4.921e-01 |    2.354e-02 |    2.723e-02 |      416 |    A | ['-44.780', '-58.398', '-94.062']
   48 |    1.190e-01 |    1.773e-02 |    2.835e-02 |      416 |    A | ['-44.758', '-58.304', '-94.181']
   49 |    9.573e-02 |    3.626e-02 |    2.802e-02 |      416 |    A | ['-44.757', '-58.400', '-94.191']
   50 |    1.044e-01 |    5.046e-02 |    2.536e-02 |      416 |    A | ['-44.653', '-58.316', '-94.249']
   51 |    2.833e-01 |    6.866e-02 |    2.630e-02 |      416 |    A | ['-44.936', '-58.288', '-94.134']
   52 |    3.820e-01 |    3.565e-02 |    2.641e-02 |      416 |    A | ['-44.580', '-58.505', '-94.516']
   53 |    1.971e-01 |    3.408e-02 |    2.530e-02 |      416 |    A | ['-44.733', '-58.382', '-94.319']
   54 |    1.533e-01 |    5.242e-02 |    2.492e-02 |      416 |    A | ['-44.710', '-58.398', '-94.472']
   55 |    3.244e-01 |    5.428e-02 |    1.591e-02 |      416 |    A | ['-44.557', '-58.722', '-94.168']
   56 |    3.834e-01 |    3.667e-02 |    1.458e-02 |      416 |    A | ['-44.694', '-58.339', '-94.320']
   57 |    2.971e-01 |    1.711e-02 |    1.545e-02 |      416 |    A | ['-44.671', '-58.636', '-94.301']
   58 |    8.173e-02 |    1.446e-02 |    1.595e-02 |      416 |    A | ['-44.643', '-58.554', '-94.292']
   59 |    9.787e-02 |    1.189e-02 |    1.806e-02 |      416 |    A | ['-44.625', '-58.573', '-94.389']
   60 |    4.456e-02 |    1.555e-02 |    1.860e-02 |      416 |    A | ['-44.605', '-58.561', '-94.345']
