 Iter |   max|dE| Ha |  max|dgamma| |    rdm_std10 |    ndets | energies
------------------------------------------------------------------------
   50 |    1.662e-01 |    5.050e-02 |    8.302e-03 |      416 | ['-43.444', '-60.085', '-95.294']
   51 |    2.632e-01 |    3.327e-02 |    8.301e-03 |      416 | ['-43.277', '-60.120', '-95.031']
   52 |    1.684e-01 |    4.445e-02 |    8.877e-03 |      416 | ['-43.108', '-60.121', '-94.951']
   53 |    1.316e-01 |    2.460e-02 |    9.153e-03 |      416 | ['-43.161', '-60.122', '-95.082']
   54 |    1.936e-01 |    3.791e-02 |    7.240e-03 |      416 | ['-43.286', '-60.097', '-94.889']
   55 |    9.534e-02 |    2.604e-02 |    7.743e-03 |      416 | ['-43.206', '-60.137', '-94.984']
   56 |    1.267e-01 |    2.851e-02 |    8.002e-03 |      416 | ['-43.264', '-60.010', '-94.980']
   57 |    1.125e-01 |    1.704e-02 |    9.266e-03 |      416 | ['-43.275', '-60.060', '-94.868']
   58 |    9.600e-02 |    3.965e-02 |    9.483e-03 |      416 | ['-43.228', '-60.107', '-94.964']
   59 |    1.275e-01 |    2.546e-02 |    9.777e-03 |      416 | ['-43.305', '-59.980', '-95.083']
   60 |    1.679e-01 |    3.295e-02 |    7.810e-03 |      416 | ['-43.366', '-60.000', '-95.251']
