iter | delta_E (Ha)   | delta_rdm     | rdm_std10     | total_dets | fragment_energies
----------------------------------------------------------------------------------------------------------------
   0 |            inf |           inf |           nan |        416 | [-47.309, -62.998, -96.486]
   1 |      6.091e-01 |     1.769e-01 |           nan |        416 | [-46.762, -62.594, -95.877]
   2 |      3.961e-01 |     1.569e-01 |           nan |        416 | [-46.366, -62.439, -95.531]
   3 |      5.535e-01 |     1.422e-01 |     1.423e-02 |        416 | [-46.241, -61.885, -95.047]
   4 |      2.993e-01 |     9.853e-02 |     2.881e-02 |        416 | [-45.942, -61.760, -94.848]
   5 |      2.974e-01 |     8.082e-02 |     3.599e-02 |        416 | [-45.850, -61.462, -94.756]
   6 |      4.481e-01 |     9.599e-02 |     3.536e-02 |        416 | [-45.402, -61.455, -94.542]
   7 |      6.523e-01 |     5.447e-02 |     4.105e-02 |        416 | [-45.494, -60.803, -94.148]
   8 |      9.376e-02 |     5.386e-02 |     4.342e-02 |        416 | [-45.401, -60.768, -94.168]
   9 |      3.192e-01 |     8.923e-02 |     4.133e-02 |        416 | [-45.207, -60.449, -93.868]
  10 |      3.355e-01 |     5.256e-02 |     4.230e-02 |        416 | [-45.218, -60.114, -93.700]
  11 |      1.350e-01 |     7.670e-02 |     3.398e-02 |        416 | [-45.083, -60.009, -93.623]
  12 |      1.771e-01 |     4.455e-02 |     2.810e-02 |        416 | [-45.078, -59.832, -93.451]
  13 |      1.164e-01 |     4.562e-02 |     2.016e-02 |        416 | [-44.985, -59.715, -93.526]
  14 |      1.140e-01 |     5.701e-02 |     1.784e-02 |        416 | [-44.934, -59.601, -93.581]
  15 |      2.143e-01 |     3.639e-02 |     1.887e-02 |        416 | [-44.937, -59.387, -93.622]
  16 |      1.734e-01 |     3.102e-02 |     1.663e-02 |        416 | [-44.792, -59.213, -93.629]
  17 |      1.730e-01 |     5.477e-02 |     1.663e-02 |        416 | [-44.857, -59.104, -93.802]
  18 |      3.229e-01 |     4.322e-02 |     1.695e-02 |        416 | [-44.974, -59.068, -94.125]
  19 |      1.356e-01 |     2.646e-02 |     1.373e-02 |        416 | [-44.897, -59.136, -94.261]
  20 |      1.657e-01 |     7.157e-02 |     1.559e-02 |        416 | [-44.861, -59.094, -94.426]
  21 |      3.155e-01 |     2.555e-02 |     1.386e-02 |        416 | [-44.847, -58.779, -94.201]
  22 |      1.786e-01 |     3.361e-02 |     1.418e-02 |        416 | [-44.934, -58.600, -94.239]
  23 |      2.528e-01 |     3.804e-02 |     1.419e-02 |        416 | [-44.682, -58.637, -94.191]
  24 |      1.267e-01 |     4.129e-02 |     1.326e-02 |        416 | [-44.589, -58.763, -94.281]
  25 |      1.017e-01 |     5.550e-02 |     1.393e-02 |        416 | [-44.487, -58.678, -94.197]
  26 |      1.139e-01 |     3.046e-02 |     1.398e-02 |        416 | [-44.373, -58.609, -94.144]
  27 |      1.285e-01 |     3.529e-02 |     1.341e-02 |        416 | [-44.403, -58.737, -94.266]
  28 |      1.713e-01 |     5.483e-02 |     1.412e-02 |        416 | [-44.480, -58.566, -94.407]
  29 |      2.851e-01 |     7.732e-02 |     1.678e-02 |        416 | [-44.195, -58.677, -94.267]
  30 |      3.291e-01 |     2.606e-02 |     1.544e-02 |        416 | [-44.404, -58.348, -94.333]
  31 |      2.192e-01 |     3.466e-02 |     1.470e-02 |        416 | [-44.345, -58.567, -94.496]
  32 |      1.296e-01 |     4.127e-02 |     1.441e-02 |        416 | [-44.367, -58.438, -94.457]
  33 |      1.383e-01 |     2.871e-02 |     1.502e-02 |        416 | [-44.412, -58.458, -94.595]
  34 |      9.449e-02 |     3.077e-02 |     1.543e-02 |        416 | [-44.317, -58.393, -94.518]
  35 |      2.700e-01 |     3.294e-02 |     1.486e-02 |        416 | [-44.374, -58.512, -94.788]
  36 |      1.555e-01 |     3.997e-02 |     1.457e-02 |        416 | [-44.440, -58.357, -94.792]
  37 |      2.627e-01 |     5.796e-02 |     1.537e-02 |        416 | [-44.177, -58.479, -94.620]
  38 |      1.324e-01 |     3.651e-02 |     1.487e-02 |        416 | [-44.156, -58.500, -94.488]
  39 |      6.609e-02 |     3.110e-02 |     8.606e-03 |        416 | [-44.171, -58.515, -94.554]
  40 |      1.958e-01 |     2.774e-02 |     8.425e-03 |        416 | [-44.113, -58.711, -94.692]
  41 |      1.505e-01 |     4.128e-02 |     8.540e-03 |        416 | [-44.067, -58.861, -94.830]
  42 |      1.908e-01 |     2.815e-02 |     8.762e-03 |        416 | [-44.237, -58.671, -94.945]
  43 |      1.101e-01 |     2.119e-02 |     9.596e-03 |        416 | [-44.332, -58.560, -95.042]
  44 |      1.477e-01 |     5.233e-02 |     1.080e-02 |        416 | [-44.346, -58.565, -95.189]
  45 |      2.270e-01 |     3.075e-02 |     1.090e-02 |        416 | [-44.456, -58.338, -95.139]
  46 |      1.983e-01 |     4.401e-02 |     1.109e-02 |        416 | [-44.436, -58.536, -95.275]
  47 |      2.324e-01 |     5.353e-02 |     1.031e-02 |        416 | [-44.321, -58.440, -95.043]
  48 |      1.899e-01 |     3.285e-02 |     1.037e-02 |        416 | [-44.233, -58.630, -95.095]
  49 |      1.506e-01 |     2.353e-02 |     1.098e-02 |        416 | [-44.262, -58.663, -95.246]
  50 |      1.690e-01 |     5.315e-02 |     1.179e-02 |        416 | [-44.185, -58.832, -95.156]
  51 |      1.599e-01 |     4.821e-02 |     1.216e-02 |        416 | [-44.246, -58.672, -95.123]
  52 |      1.962e-01 |     2.218e-02 |     1.280e-02 |        416 | [-44.081, -58.869, -95.092]
  53 |      1.100e-01 |     3.592e-02 |     1.154e-02 |        416 | [-44.191, -58.762, -95.115]
  54 |      2.239e-01 |     4.243e-02 |     1.081e-02 |        416 | [-44.350, -58.539, -95.138]
  55 |      6.829e-02 |     3.080e-02 |     1.081e-02 |        416 | [-44.404, -58.529, -95.206]
  56 |      1.585e-01 |     2.316e-02 |     1.156e-02 |        416 | [-44.348, -58.458, -95.047]
  57 |      1.320e-01 |     4.206e-02 |     1.033e-02 |        416 | [-44.216, -58.538, -94.947]
  58 |      1.508e-01 |     3.405e-02 |     1.030e-02 |        416 | [-44.218, -58.688, -95.058]
  59 |      6.440e-02 |     3.301e-02 |     9.564e-03 |        416 | [-44.174, -58.753, -95.074]
  60 |      1.617e-01 |     3.604e-02 |     7.798e-03 |        416 | [-44.012, -58.811, -94.958]
