Iter | max|dE| Ha | max|dgamma| | rdm_std10 | ndets
    0 |        inf |         inf |       nan | 416
    1 |  5.452e-01 |   1.769e-01 |       nan | 416
    2 |  3.935e-01 |   1.496e-01 |       nan | 416
    3 |  3.262e-01 |   1.332e-01 | 1.805e-02 | 416
    4 |  3.713e-01 |   9.274e-02 | 3.051e-02 | 416
    5 |  3.789e-01 |   9.874e-02 | 3.150e-02 | 416
    6 |  3.018e-01 |   7.235e-02 | 3.595e-02 | 416
    7 |  2.935e-01 |   6.923e-02 | 3.783e-02 | 416
    8 |  3.720e-01 |   5.248e-02 | 4.069e-02 | 416
    9 |  3.038e-01 |   4.283e-02 | 4.315e-02 | 416
   10 |  2.062e-01 |   5.026e-02 | 4.343e-02 | 416
   11 |  2.585e-01 |   3.706e-02 | 3.637e-02 | 416
   12 |  1.129e-01 |   4.986e-02 | 2.875e-02 | 416
   13 |  2.100e-01 |   2.578e-02 | 2.247e-02 | 416
   14 |  1.363e-01 |   3.377e-02 | 2.053e-02 | 416
   15 |  1.287e-01 |   2.692e-02 | 1.524e-02 | 416
   16 |  1.117e-01 |   3.195e-02 | 1.291e-02 | 416
   17 |  1.483e-01 |   2.148e-02 | 1.058e-02 | 416
   18 |  1.543e-01 |   3.211e-02 | 9.333e-03 | 416
   19 |  1.638e-01 |   2.618e-02 | 9.309e-03 | 416
   20 |  1.652e-01 |   1.877e-02 | 8.402e-03 | 416
   21 |  8.795e-02 |   2.358e-02 | 8.305e-03 | 416
   22 |  1.005e-01 |   1.666e-02 | 5.469e-03 | 416
   23 |  9.549e-02 |   1.863e-02 | 5.866e-03 | 416
   24 |  1.029e-01 |   3.429e-02 | 5.946e-03 | 416
   25 |  2.467e-01 |   1.250e-02 | 6.978e-03 | 416
   26 |  4.984e-02 |   3.326e-02 | 7.144e-03 | 416
   27 |  2.263e-01 |   2.771e-02 | 7.191e-03 | 416
   28 |  1.143e-01 |   2.220e-02 | 6.724e-03 | 416
   29 |  1.131e-01 |   1.152e-02 | 7.507e-03 | 416
   30 |  9.512e-02 |   2.094e-02 | 7.444e-03 | 416
   31 |  3.049e-02 |   1.121e-02 | 8.099e-03 | 416
   32 |  1.217e-02 |   1.991e-02 | 7.987e-03 | 416
   33 |  1.300e-01 |   2.174e-02 | 7.941e-03 | 416
   34 |  1.371e-01 |   3.555e-02 | 8.150e-03 | 416
   35 |  4.553e-02 |   2.923e-02 | 7.809e-03 | 416
   36 |  1.693e-01 |   1.780e-02 | 7.195e-03 | 416
   37 |  7.038e-02 |   2.810e-02 | 7.228e-03 | 416
   38 |  1.877e-01 |   1.209e-02 | 7.790e-03 | 416
   39 |  1.021e-01 |   2.842e-02 | 7.415e-03 | 416
   40 |  2.103e-01 |   2.659e-02 | 7.489e-03 | 416
   41 |  5.027e-02 |   1.967e-02 | 6.517e-03 | 416
   42 |  1.451e-01 |   1.259e-02 | 7.290e-03 | 416
   43 |  4.643e-02 |   2.156e-02 | 7.293e-03 | 416
   44 |  6.191e-02 |   2.278e-02 | 6.019e-03 | 416
   45 |  6.297e-02 |   1.886e-02 | 5.537e-03 | 416
   46 |  1.373e-01 |   2.345e-02 | 5.486e-03 | 416
   47 |  1.004e-01 |   3.124e-02 | 5.931e-03 | 416
   48 |  6.998e-02 |   2.403e-02 | 4.999e-03 | 416
   49 |  1.469e-01 |   2.622e-02 | 4.796e-03 | 416
   50 |  9.064e-02 |   1.899e-02 | 4.721e-03 | 416
   51 |  8.494e-02 |   1.282e-02 | 5.442e-03 | 416
   52 |  2.357e-02 |   1.373e-02 | 5.269e-03 | 416
   53 |  2.671e-02 |   1.484e-02 | 5.618e-03 | 416
   54 |  4.199e-02 |   2.402e-02 | 5.677e-03 | 416
   55 |  1.155e-01 |   2.703e-02 | 5.919e-03 | 416
   56 |  1.466e-01 |   3.206e-02 | 6.695e-03 | 416
   57 |  1.032e-01 |   3.138e-02 | 6.714e-03 | 416
   58 |  1.577e-01 |   3.870e-02 | 8.300e-03 | 416
   59 |  5.294e-02 |   1.468e-02 | 8.700e-03 | 416
   60 |  6.834e-02 |   1.708e-02 | 8.803e-03 | 416
